date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:54	9095/9095	---M--	200	added ('OK')	application/javascript	date:Mon,%2012%20Mar%202018%2017:34:08%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/scrollreveal.min.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/scrollreveal.min.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:55	1283/1283	---M--	200	added ('OK')	application/javascript	date:Sat,%2016%20Mar%202019%2018:51:04%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/svg-handler.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/svg-handler.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:56	2050/2050	---M--	200	added ('OK')	application/javascript	date:Sun,%2025%20Nov%202018%2021:28:50%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/switcher.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/switcher.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:58	11307/11307	---M--	200	added ('OK')	application/javascript	date:Sat,%2008%20Sep%202018%2008:03:42%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/venobox.min.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/venobox.min.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:58	42863/42863	---M--	200	added ('OK')	application/javascript	date:Wed,%2004%20Oct%202017%2000:49:28%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/slick.min.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/slick.min.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:00	2393/2393	---M--	200	added ('OK')	application/javascript	date:Mon,%2011%20Mar%202019%2007:20:20%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/custom.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/custom.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:01	13831/13831	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Apr%202019%2006:33:34%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/app.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/app.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:01	1403/1403	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Dec%202018%2000:25:26%20GMT	http://themes.dhrubok.website/xpider/wp-includes/js/wp-embed.min.js?ver=5.1.2	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-includes/js/wp-embed.minfee8.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:10	42863/42863	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Sep%202019%2002:04:11%20GMT	http://themes.dhrubok.website/xpider/wp-content/plugins/elementor/assets/lib/slick/slick.min.js?ver=1.8.1	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/plugins/elementor/assets/lib/slick/slick.minc245.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:11	44862/44862	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Sep%202019%2002:04:11%20GMT	http://themes.dhrubok.website/xpider/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=2.6.8	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/plugins/elementor/assets/js/frontend-modules.min91ac.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:11	6431/6431	---M--	200	added ('OK')	application/javascript	date:Thu,%2014%20Feb%202019%2015:01:04%20GMT	http://themes.dhrubok.website/xpider/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=2.4.4	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.minfc3c.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:11	3142546/3142546	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:53%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-dublin.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-dublin0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:15	6527/6527	---M--	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2009:40:34%20GMT	http://themes.dhrubok.website/xpider/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-includes/js/jquery/ui/position.mine899.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:34:16	10681/10681	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Sep%202019%2002:04:11%20GMT	http://themes.dhrubok.website/xpider/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.3	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/plugins/elementor/assets/lib/dialog/dialog.minfe9d.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
